VideoID,480p,1080p,Alt,Button,znám?,YouTubeURL,InstagramURL,FacebookURL,type,Figury,Video,Datum,notes,source,,
3008,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=4SQCY2x5K8o&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=11,,,,,,2025-Říjen,,,,
3009,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=EFJh78oo5o0&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=10,,,,,,2025-Říjen,,,,
3010,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=dOVTUaIIIVo&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=9,,,,,,2025-Říjen,,,,
3011,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=d7J52Mil5OY&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=8,,,,,,2025-Listopad,,,,
3012,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=ywD3V7QbJEA&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=7,,,,,,2025-Listopad,,,,
3013,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=9VJskz0itSQ&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=6,,,,,,2025-Listopad,,,,
3014,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=0UEZtlRCXlg&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=5,,,,,,2025-Listopad,,,,
3015,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=AhFSvYX_Hks&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=4,,,,,,2025-Listopad,,,,
3016,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=nKyojqJY6gM&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=3,,,,,,2025-Prosinec,,,,
3017,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=tdrpTJBhs3c&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=2,,,,,,2025-Prosinec,,,,
3018,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=rf0SUqhmSBw&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=1&t=5s,,,,,,2025-Prosinec,,,,
4001,,,,Trénink s Peťou,,,https://www.instagram.com/reel/DRc3UgKknGk/,,,,,,,,,
5001,,,,YouTube,,,,https://www.facebook.com/reel/700019319232047/,,,,,,,,
6001,videos/6001_360.mp4,videos/6001.mp4,,Stolárna,,,,,,Headroll,,2023-Prosinec,Bachata III - sensual,,,
6002,videos/6002_360.mp4,videos/6002.mp4,,Stolárna,,,,,,Contra Balance,,2023-Prosinec,Bachata III - sensual,,,
6003,videos/6003_360.mp4,videos/6003.mp4,,Stolárna,,,,,,Contra Balance,,2023-Prosinec,Bachata III - sensual,,,
6004,videos/6004_360.mp4,videos/6004.mp4,,Stolárna,,,,,,,,2023-Prosinec,Bachata III - sensual,,,
